rank,title,url,type,year,episodes,rating,synopsis,Native Title,Also Known As,Director,Screenwriter,Genres,Tags,Title,Type,Format,Country,Episodes,Aired,Aired On,Original Network,Duration,Content Rating,Score,Ranked,Popularity,Watchers,recommendations,Related Content,Screenwriter & Director
#1,When Life Gives You Tangerines,https://mydramalist.com/735043-life,Korean Drama,2025,16 episodes,9.3,"It is a story that resembles a tribute to our parents' tender and still youthful seasons when they were so young, including the story of mother's first love, father's heroic tales, grandma's rebellious youth, and grandpa's…",폭싹 속았수다,"Insaeng , Life , Pogssag Sogassuda , Pokssak Sogasssuda , Sugo Manheusyeossseubnida , Thank You For Your Hard Work , You Have Done Well , You Were Fooled , 수고 많으셨습니다 , 인생",Kim Won Suk,Im Sang Choon,"Romance, Life, Drama","Family Relationship, Nice Male Lead, Poor Male Lead, Teenage Pregnancy, Father-Daughter Relationship, Heartwarming, Break Up, Hardworking Female Lead, Healthy Mains’ Relationship, Childhood Sweethearts (Vote tags)",When Life Gives You Tangerines,Drama,Standard Series,South Korea,16,"Mar 7, 2025 - Mar 28, 2025",Friday,Netflix,1 hr. 2 min.,13+ - Teens 13 or older,"9.3 (scored by 82,145 users)",#7,#38,"179,080","[{""title"": ""Our Blues"", ""url"": ""https://mydramalist.com/697585-our-blues""}, {""title"": ""Reply 1988"", ""url"": ""https://mydramalist.com/13544-reply-1988""}, {""title"": ""The Good Bad Mother"", ""url"": ""https://mydramalist.com/733003-bad-mother""}, {""title"": ""Our Unwritten Seoul"", ""url"": ""https://mydramalist.com/762921-unknown-seoul""}, {""title"": ""Twenty Five Twenty One"", ""url"": ""https://mydramalist.com/695149-twenty-five-twenty-one""}, {""title"": ""Love Story in the 1970s"", ""url"": ""https://mydramalist.com/754361-love-story-in-the-1970s""}]",,
#2,Twinkling Watermelon,https://mydramalist.com/739603-sparkling-watermelon,Korean Drama,2023,16 episodes,9.2,"In 2023, high school student Eun Gyeol, a CODA with a passion for music, leads a double life as a model pupil by day and a guitarist by night. When he discovers a mysterious music store, he's unexpectedly transported…",반짝이는 워터멜론,"Banjjagineun Woteomellon , Shining Watermelon , Sparkling Watermelon",Son Jung Hyun,Jin Soo Wan,"Romance, Youth, Drama, Fantasy","Time Travel, Child From The Future, Deafness, Sign Language, Father-Son Relationship, 1990s, Music, Coming Of Age, Friendship, Comedy (Vote tags)",Twinkling Watermelon,Drama,Standard Series,South Korea,16,"Sep 25, 2023 - Nov 14, 2023","Monday, Tuesday",tvN,1 hr. 10 min.,15+ - Teens 15 or older,"9.2 (scored by 117,074 users)",#24,#15,"236,002","[{""title"": ""Lovely Runner"", ""url"": ""https://mydramalist.com/750099-time-walking-on-memory""}, {""title"": ""Twenty Five Twenty One"", ""url"": ""https://mydramalist.com/695149-twenty-five-twenty-one""}, {""title"": ""18 Again"", ""url"": ""https://mydramalist.com/52941-eighteen-again""}, {""title"": ""Castaway Diva"", ""url"": ""https://mydramalist.com/745215-diva-of-the-deserted-island""}, {""title"": ""My Perfect Stranger"", ""url"": ""https://mydramalist.com/719347-bumped-into-you""}, {""title"": ""A Time Called You"", ""url"": ""https://mydramalist.com/689831-someday-or-one-day""}]",,
#3,Move to Heaven,https://mydramalist.com/49231-move-to-heaven,Korean Drama,2021,10 episodes,9.1,"Han Geu Ru is an autistic 20-year-old guy. He works for his father’s business “Move To Heaven,” a company that specializes in trauma scene cleanup, where they also collect and arrange items left by deceased people,…",무브 투 헤븐: 나는 유품정리사입니다,"Move To Heaven: I Am a Person Who Arranges Articles Left by Deceased , Move to Heaven: I Clean Dead People's Possessions , Move To Heaven: Naneun Yoopoomjungrisaibmida , Mubeu Tu Hebeun: Naneun Yoopoomjungrisaibmida",Kim Sung Ho,Yoon Ji Ryun,"Life, Drama","Uncle-Nephew Relationship, Autism, Death, Tearjerker, Savant Syndrome, Life Lesson, Autistic Male Lead, Smart Male Lead, Murder, Friendship (Vote tags)",Move to Heaven,Drama,Standard Series,South Korea,10,"May 14, 2021",Friday,Netflix,52 min.,18+ Restricted (violence & profanity),"9.1 (scored by 79,720 users)",#34,#35,"184,147","[{""title"": ""Tomorrow"", ""url"": ""https://mydramalist.com/695963-tomorrow""}, {""title"": ""Extraordinary Attorney Woo"", ""url"": ""https://mydramalist.com/705723-strange-lawyer-woo-young-woo""}, {""title"": ""If You Wish Upon Me"", ""url"": ""https://mydramalist.com/705665-tell-me-your-wish""}, {""title"": ""May I Help You?"", ""url"": ""https://mydramalist.com/723801-il-dang-baek-butler""}, {""title"": ""D.P."", ""url"": ""https://mydramalist.com/59001-d-p-dog-day""}, {""title"": ""Navillera"", ""url"": ""https://mydramalist.com/59381-navillera""}]",,
#4,Weak Hero Class 1,https://mydramalist.com/702267-weak-hero,Korean Drama,2022,8 episodes,9.1,"Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside…",약한영웅 Class 1,"Weak Hero , Weak Hero Season 1 , Yakhanyeongung Sijeun1 , 약한영웅 시즌1",Park Dhan Hee,,"Action, Youth, Drama","Student Male Lead, Teenager Male Lead, Violence, Friendship, School Bullying, School Setting, Bromance, Skilled Fighter, High School, Introverted Male Lead (Vote tags)",Weak Hero Class 1,Drama,Standard Series,South Korea,8,"Nov 18, 2022",Friday,Wavve,40 min.,18+ Restricted (violence & profanity),"9.1 (scored by 128,788 users)",#36,#11,"240,943","[{""title"": ""Study Group"", ""url"": ""https://mydramalist.com/752799-study-group""}, {""title"": ""Pyramid Game"", ""url"": ""https://mydramalist.com/749923-pyramid-game""}, {""title"": ""Extracurricular"", ""url"": ""https://mydramalist.com/34221-human-lessons""}, {""title"": ""D.P."", ""url"": ""https://mydramalist.com/59001-d-p-dog-day""}, {""title"": ""The Glory"", ""url"": ""https://mydramalist.com/685237-the-glory""}, {""title"": ""High School Return of a Gangster"", ""url"": ""https://mydramalist.com/749903-i-a-gangster-became-a-high-schooler""}]","Weak Hero Class 2 (Korean sequel)
Weak Hero Class 1: Behind the Scenes (Korean compilation)",Yoo Su Min
#5,Alchemy of Souls,https://mydramalist.com/52939-can-this-person-be-translated,Korean Drama,2022,20 episodes,9.1,"In the fictional country of Daeho, young mages struggle to overcome twisted fates caused by the forbidden ""alchemy of souls,"" a spell that swaps souls between bodies. Naksu, an elite assassin, finds her soul trapped…",환혼,"Alchemy of Souls Part 1 , Alchemy of Souls Season 1 , Can This Person Be Translated? , Guwoneui Tongyeok , Hwan Hon , Hwanhon , Resurrection , Return , Salvation Interpreter , Soul Marriage , Welcome , 구원의 통역 , 이사람통역이되나요 , 환혼 시즌1",Park Joon Hwa,"Hong Jeong Eun, Hong Mi Ran","Action, Historical, Romance, Fantasy","Transmigration, Master-Disciple Relationship, Supernatural, Hidden Identity, Body Swap, Elemental Power, Fake Identity, Comedy, Master-Servant Relationship, Flashback To Past (Vote tags)",Alchemy of Souls,Drama,Standard Series,South Korea,20,"Jun 18, 2022 - Aug 28, 2022","Saturday, Sunday",tvN,1 hr. 20 min.,15+ - Teens 15 or older,"9.1 (scored by 118,345 users)",#37,#13,"239,131","[{""title"": ""Alchemy of Souls Season 2: Light and Shadow"", ""url"": ""https://mydramalist.com/733261-alchemy-of-souls-part-2""}, {""title"": ""Moon Lovers: Scarlet Heart Ryeo"", ""url"": ""https://mydramalist.com/15999-moon-lovers-scarlet-heart-ryeo""}, {""title"": ""Love between Fairy and Devil"", ""url"": ""https://mydramalist.com/53117-cang-lan-jue""}, {""title"": ""Lovers of the Red Sky"", ""url"": ""https://mydramalist.com/22680-hong-chun-gi""}, {""title"": ""The Untamed"", ""url"": ""https://mydramalist.com/28723-the-untamed""}, {""title"": ""Bulgasal: Immortal Souls"", ""url"": ""https://mydramalist.com/683675-immortal""}]",Alchemy of Souls Season 2: Light and Shadow (Korean sequel),
#6,The Trauma Code: Heroes on Call,https://mydramalist.com/54697-golden-hour,Korean Drama,2025,8 episodes,9.1,"Baek Gang Hyeok, a genius trauma surgeon with experience in conflict zones, joins a university hospital to lead its severe trauma team. His confident, bulldozer-like personality clashes with the hospital's financial…",중증외상센터,"Jungjeungoesangsenteo: Goldeun Awo , Severe Trauma Center: Golden Hour , The Trauma Center: Heroes on Call , 중증외상센터: 골든 아워 , 중증외상센터: 골든아워",Lee Do Yoon,Choi Tae Gang,"Action, Comedy, Drama, Medical","Surgeon Male Lead, Hospital Setting, Mentor-Mentee Relationship, Competent Male Lead, Rescue Team, Teamwork, Hardworking Male Lead, Co-workers' Relationship, Doctor Male Lead, Workplace Setting (Vote tags)",The Trauma Code: Heroes on Call,Drama,Standard Series,South Korea,8,"Jan 24, 2025",Friday,Netflix,51 min.,15+ - Teens 15 or older,"9.1 (scored by 62,596 users)",#43,#88,"119,628","[{""title"": ""Dr. Romantic"", ""url"": ""https://mydramalist.com/19510-romantic-doctor-teacher-kim""}, {""title"": ""Dr. Romantic Season 3"", ""url"": ""https://mydramalist.com/711113-dr-romantic-3""}, {""title"": ""Ghost Doctor"", ""url"": ""https://mydramalist.com/688213-ghost-doctor""}, {""title"": ""Code Blue"", ""url"": ""https://mydramalist.com/93-code-blue""}, {""title"": ""Partners for Justice"", ""url"": ""https://mydramalist.com/28412-investigation-couple""}, {""title"": ""The First Responders"", ""url"": ""https://mydramalist.com/711391-the-police-station-next-to-fire-station""}]",Jungjeung Oesang Senteo Sijeun 2 (Korean sequel),
#7,Pursuit of Jade,https://mydramalist.com/760409-zhu-yu,Chinese Drama,2026,40 episodes,9.1,"It follows Fan Chang Yu, a butcher’s daughter, and Xie Zheng, a fallen noble seeking revenge. Their fake marriage turns into true love, but war tears them apart. Determined, Fan Chang Yu wields her butcher’s knife…",逐玉,"Chasing Jade , Zhu Yu",Zeng Qing Jie,Zou Yue,"Historical, Mystery, Romance, War","Fake To Real Lovers, Physically Strong Female Lead, General Male Lead, Female Lead Saves Male Lead, Marriage Of Convenience, Sisters' Relationship, Hidden Identity, Righteous Male Lead, Fake Marriage, Skilled Fighter Female Lead (Vote tags)",Pursuit of Jade,Drama,Standard Series,China,40,"Mar 6, 2026 - Mar 26, 2026","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","iQiyi, Tencent Video",45 min.,13+ - Teens 13 or older,"9.1 (scored by 42,737 users)",#42,#189,"82,629","[{""title"": ""Legend of the Female General"", ""url"": ""https://mydramalist.com/754387-legend-of-the-female-general""}, {""title"": ""Are You the One"", ""url"": ""https://mydramalist.com/699401-jiao-cang""}, {""title"": ""Blossom"", ""url"": ""https://mydramalist.com/745395-jiu-chong-zi""}, {""title"": ""Fated Hearts"", ""url"": ""https://mydramalist.com/768987-wan-xin-ji""}, {""title"": ""The Prisoner of Beauty"", ""url"": ""https://mydramalist.com/687393-the-prisoner-of-beauty""}, {""title"": ""Glory"", ""url"": ""https://mydramalist.com/772283-ming-men-shi-jia""}]",Pursuit of Jade: Behind the Scenes (Chinese compilation),
#8,Hospital Playlist Season 2,https://mydramalist.com/57173-hospital-playlist-2,Korean Drama,2021,12 episodes,9.1,"Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist. (Source: Netflix)",슬기로운 의사 생활 시즌2,"Hospital Playlist 2 , Hospital Playlist++ , 슬기로운 의사 생활 2 , 슬기로운 의사생활++",Shin Won Ho,Lee Woo Jung,"Romance, Life, Drama, Medical","Multiple Mains, Band, Music, Comedy, Illness, Multiple Couples, Bromance, Friendship, Neurosurgeon Female Lead, Surgeon Male Lead (Vote tags)",Hospital Playlist Season 2,Drama,Standard Series,South Korea,12,"Jun 17, 2021 - Sep 16, 2021",Thursday,tvN,1 hr. 40 min.,15+ - Teens 15 or older,"9.1 (scored by 52,382 users)",#46,#73,"133,959","[{""title"": ""Resident Playbook"", ""url"": ""https://mydramalist.com/757797-a-life-of-a-resident-that-will-be-wise-someday""}, {""title"": ""Dr. Romantic"", ""url"": ""https://mydramalist.com/19510-romantic-doctor-teacher-kim""}, {""title"": ""Prison Playbook"", ""url"": ""https://mydramalist.com/22624-wise-prison-life""}, {""title"": ""Reply 1988"", ""url"": ""https://mydramalist.com/13544-reply-1988""}, {""title"": ""The Oath of Love"", ""url"": ""https://mydramalist.com/38807-yu-sheng-qing-duo-zhi-jiao""}, {""title"": ""Dr. Romantic Season 3"", ""url"": ""https://mydramalist.com/711113-dr-romantic-3""}]","Hospital Playlist (Korean prequel)
Hospital Playlist Season 2 Special (Korean compilation)
Three Meals a Day: Doctors (Korean compilation)
Hospital Playlist's Mission 99 Possible (Korean compilation)",
#9,Flower of Evil,https://mydramalist.com/54625-flower-of-evil,Korean Drama,2020,16 episodes,9.0,"Although Baek Hui Seong is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and a doting father to his young daughter. But his…",악의 꽃,"Agui Kkot , Akeui Kkot , Akui Kkot , The Flower of Evil","Kim Chul Gyu, Yoon Jong Ho",Yoo Jeong Hui,"Thriller, Romance, Crime, Melodrama","Detective Female Lead, Psychological, Family Secret, Mystery, Suspense, Hidden Personality, Antisocial Personality Disorder, Investigation, Detective Fiction, Murder (Vote tags)",Flower of Evil,Drama,Standard Series,South Korea,16,"Jul 29, 2020 - Sep 23, 2020","Wednesday, Thursday",tvN,1 hr. 10 min.,15+ - Teens 15 or older,"9.0 (scored by 99,577 users)",#51,#16,"229,408","[{""title"": ""When the Phone Rings"", ""url"": ""https://mydramalist.com/766179-the-number-you-have-dialed""}, {""title"": ""Mouse"", ""url"": ""https://mydramalist.com/58953-mouse""}, {""title"": ""The Innocent Man"", ""url"": ""https://mydramalist.com/4295-the-innocent-man""}, {""title"": ""Blind"", ""url"": ""https://mydramalist.com/715771-blind""}, {""title"": ""Two Weeks"", ""url"": ""https://mydramalist.com/7028-two-weeks""}, {""title"": ""Come and Hug Me"", ""url"": ""https://mydramalist.com/27310-come-here-and-give-me-a-hug""}]","Flower of Evil Special (Korean compilation)
Flower of Evil (Filipino remake)
Yin Man Zhi Shi (Chinese remake)",
#10,Reply 1988,https://mydramalist.com/13544-reply-1988,Korean Drama,2015,20 episodes,9.0,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention…",응답하라 1988,"Answer Me 1988 , Answer To 1988 , Eungdabhara 1988 , Respond 1988 , Respond To 1988","Shin Won Ho, Yoo Hak Chan","Lee Woo Jung, Kim Song Hee","Comedy, Romance, Life, Youth","Nostalgia, Multiple Couples, Poor Family, Love Triangle, Friendship, High School, Mother-Son Relationship, Coming Of Age, Bromance, Poor Female Lead (Vote tags)",Reply 1988,Drama,Standard Series,South Korea,20,"Nov 6, 2015 - Jan 16, 2016","Friday, Saturday",tvN,1 hr. 35 min.,15+ - Teens 15 or older,"9.0 (scored by 73,170 users)",#54,#39,"179,041","[{""title"": ""Hospital Playlist"", ""url"": ""https://mydramalist.com/36269-doctor-playbook""}, {""title"": ""Go Ahead"", ""url"": ""https://mydramalist.com/40911-go-ahead""}, {""title"": ""Twenty Five Twenty One"", ""url"": ""https://mydramalist.com/695149-twenty-five-twenty-one""}, {""title"": ""Prison Playbook"", ""url"": ""https://mydramalist.com/22624-wise-prison-life""}, {""title"": ""Reply 1997"", ""url"": ""https://mydramalist.com/4689-reply-1997""}, {""title"": ""When Life Gives You Tangerines"", ""url"": ""https://mydramalist.com/735043-life""}]","Reply 1994 (Korean compilation)
Reply 1997 (Korean compilation)
Reply 1988: 10th Anniversary (Korean compilation)",
#11,Moving,https://mydramalist.com/25560-moving,Korean Drama,2023,20 episodes,9.0,"Kim Bong Seok, Jang Hui Su, and Lee Gang Hun, seemingly typical high school students, bear extraordinary inherited powers. Bong Seok can fly, Hui Su possesses exceptional athleticism and rapid injury recovery, and Gang…",무빙,Mubing,Park In Je,Kang Full,"Action, Thriller, Mystery, Supernatural","Graphic Violence, Supernatural Power, Multiple Mains, Romance, Family Relationship, Past And Present, Mother-Son Relationship, Father-Daughter Relationship, Suspense, 1990s (Vote tags)",Moving,Drama,Standard Series,South Korea,20,"Aug 9, 2023 - Sep 20, 2023",Wednesday,Disney+,47 min.,18+ Restricted (violence & profanity),"9.0 (scored by 59,040 users)",#55,#79,"126,567","[{""title"": ""I Am Nobody"", ""url"": ""https://mydramalist.com/66507-the-outcast""}, {""title"": ""The Uncanny Counter"", ""url"": ""https://mydramalist.com/62085-a-wonderful-rumor""}, {""title"": ""A Shop for Killers"", ""url"": ""https://mydramalist.com/744135-the-killer-s-shopping-mall""}, {""title"": ""The WONDERfools"", ""url"": ""https://mydramalist.com/768853-the-b-team""}, {""title"": ""The Atypical Family"", ""url"": ""https://mydramalist.com/748581-although-i-am-not-a-hero""}, {""title"": ""The Gifted"", ""url"": ""https://mydramalist.com/27367-the-gifted""}]","Moving Season 2 (Korean sequel)
Light Shop (Korean shared universe)",
#12,The Untamed Special Edition,https://mydramalist.com/53505-the-untamed-special-edition,Chinese Special,2019,20 episodes,9.0,A 20-episode cut of The Untamed made for better integration and comprehension of the series. This special edition focuses more on Lan Wangji/Lan Zhan and Wei Wuxian/Wei Ying.,陈情令特別剪辑版,"Os Indomáveis Edição Especial , The Untamed Special Cut , Неукротимый- Специальный выпуск","Steve Cheng, Chan Ka Lam","Deng Yao Yu, Yang Xia, Guo Guang Yun, Ma Jing","Mystery, Wuxia, Fantasy","Bromance, Smart Male Lead, Censored Adaptation Of Same-sex Original Work, Xianxia, Calm Male Lead, Adapted From A Novel, Cold Male Lead, Death, Family Relationship, Cultivation (Vote tags)",The Untamed Special Edition,Drama,Drama Special,China,20,"Dec 25, 2019 - Feb 4, 2020","Tuesday, Wednesday, Thursday",Tencent Video,1 hr. 2 min.,15+ - Teens 15 or older,"9.0 (scored by 11,628 users)",#56,#495,"45,059","[{""title"": ""The Untamed"", ""url"": ""https://mydramalist.com/28723-the-untamed""}, {""title"": ""Immortality"", ""url"": ""https://mydramalist.com/54501-hao-yi-xing""}, {""title"": ""Word of Honor"", ""url"": ""https://mydramalist.com/59021-tian-ya-ke""}, {""title"": ""Fatal Journey"", ""url"": ""https://mydramalist.com/48567-fatal-journey""}, {""title"": ""The Silent Criminal"", ""url"": ""https://mydramalist.com/46857-wu-zhu-zhi-zhan""}, {""title"": ""Winter Begonia"", ""url"": ""https://mydramalist.com/31618-winter-begonia""}]","The Untamed (Chinese original story)
Fatal Journey (Chinese spinoff)
The Living Dead (Chinese spinoff)",
